epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4623,1.88674,3.20381,1.29579,0.00875,0.82895,0.11069,0.03361,2.18799,3.66812,1.45497,0.08119,0.00019,0.00019
2,69.591,1.8632,2.09687,1.21555,0.0106,1,0.32753,0.11643,1.77698,3.49564,1.24649,0.0613836,0.000383565,0.000383565
3,103.939,1.86326,1.65576,1.21478,0.2209,0.97368,0.62769,0.26912,1.71445,3.12872,1.21869,0.0415705,0.00057053,0.00057053
4,137.2,1.83728,1.53249,1.27535,0.15306,0.98684,0.73325,0.31903,1.74493,2.67587,1.18622,0.0217509,0.000750895,0.000750895
5,170.679,1.8436,1.52104,1.2349,0.65973,0.60526,0.73383,0.35945,1.69075,1.84336,1.16301,0.00192466,0.00092466,0.00092466
6,203.842,1.7782,1.4143,1.22643,0.58545,0.78947,0.66543,0.30073,1.72688,1.45687,1.18038,0.0009175,0.0009175,0.0009175
7,237.244,1.74507,1.37542,1.23072,0.62239,0.80243,0.72852,0.31595,1.74086,1.48246,1.17934,0.000901,0.000901,0.000901
8,270.883,1.79511,1.43538,1.17385,0.65317,0.92105,0.81131,0.35267,1.72055,1.43637,1.16143,0.0008845,0.0008845,0.0008845
9,304.284,1.71192,1.30795,1.16298,0.6861,0.86842,0.79131,0.39032,1.63413,1.33761,1.13953,0.000868,0.000868,0.000868
10,337.692,1.68539,1.24967,1.17092,0.69596,0.84335,0.77438,0.38344,1.6546,1.31024,1.14974,0.0008515,0.0008515,0.0008515
11,370.861,1.68753,1.25012,1.17301,0.70332,0.85526,0.76415,0.37424,1.71635,1.28585,1.18261,0.000835,0.000835,0.000835
12,404.153,1.56217,1.28272,1.07606,0.70547,0.84211,0.83395,0.401,1.69501,1.24965,1.17346,0.0008185,0.0008185,0.0008185
13,437.656,1.67963,1.20297,1.14263,0.69675,0.90789,0.75193,0.37911,1.66204,1.21474,1.15209,0.000802,0.000802,0.000802
14,471.421,1.71673,1.18395,1.11398,0.69821,0.8828,0.77736,0.38288,1.62783,1.2092,1.13017,0.0007855,0.0007855,0.0007855
15,504.717,1.64749,1.21707,1.13716,0.71454,0.92222,0.86956,0.4355,1.65495,1.15733,1.12167,0.000769,0.000769,0.000769
16,538.407,1.62205,1.1427,1.12448,0.74102,0.90361,0.86931,0.42888,1.65895,1.12809,1.12121,0.0007525,0.0007525,0.0007525
17,571.682,1.60169,1.09135,1.12728,0.65491,0.89474,0.7459,0.38339,1.62974,1.2483,1.14021,0.000736,0.000736,0.000736
18,604.875,1.62916,1.14777,1.16688,0.66018,0.92024,0.72175,0.35432,1.61993,1.27564,1.13715,0.0007195,0.0007195,0.0007195
19,638.265,1.59882,1.07587,1.09612,0.66961,0.88158,0.71654,0.33754,1.69244,1.16704,1.15567,0.000703,0.000703,0.000703
20,671.551,1.65365,1.10262,1.15294,0.69172,0.86842,0.73761,0.349,1.69934,1.16402,1.14375,0.0006865,0.0006865,0.0006865
21,704.313,1.58319,1.01461,1.10795,0.61928,1,0.77734,0.37968,1.65584,1.19632,1.12204,0.00067,0.00067,0.00067
22,737.607,1.56636,1.03604,1.09501,0.63722,0.90139,0.75675,0.35665,1.70937,1.20088,1.13993,0.0006535,0.0006535,0.0006535
23,771.308,1.58959,1.03351,1.09293,0.69493,0.86842,0.80178,0.3974,1.7347,1.14777,1.15666,0.000637,0.000637,0.000637
24,804.377,1.58409,1.01364,1.12758,0.66039,0.92112,0.81808,0.41761,1.69128,1.09307,1.14545,0.0006205,0.0006205,0.0006205
25,838.028,1.58523,1.01437,1.11143,0.65783,0.94737,0.76578,0.37337,1.67169,1.11623,1.13353,0.000604,0.000604,0.000604
26,871.603,1.52182,0.93431,1.07503,0.65594,0.92818,0.74632,0.36498,1.66909,1.11061,1.12808,0.0005875,0.0005875,0.0005875
27,904.775,1.55263,0.97453,1.08792,0.6592,0.90789,0.77962,0.38246,1.69605,1.14216,1.13717,0.000571,0.000571,0.000571
28,937.98,1.56745,0.93724,1.09159,0.66921,0.92105,0.79551,0.40167,1.67168,1.11803,1.13678,0.0005545,0.0005545,0.0005545
29,971.422,1.55996,0.93589,1.08853,0.67094,0.93421,0.81769,0.41896,1.64778,1.12625,1.13515,0.000538,0.000538,0.000538
30,1004.47,1.49202,1.13541,1.06283,0.73381,0.79804,0.80668,0.41508,1.62597,1.13296,1.12932,0.0005215,0.0005215,0.0005215
31,1037.55,1.51904,0.91876,1.07186,0.66927,0.90531,0.7857,0.40583,1.67417,1.10144,1.15024,0.000505,0.000505,0.000505
32,1070.53,1.50167,0.91611,1.06254,0.67836,0.93421,0.78855,0.40681,1.66718,1.07847,1.14352,0.0004885,0.0004885,0.0004885
33,1104.07,1.52797,0.91603,1.06375,0.68115,0.90789,0.79431,0.41427,1.6188,1.08488,1.12489,0.000472,0.000472,0.000472
34,1137.32,1.46667,0.90926,1.06514,0.67078,0.88158,0.7878,0.4128,1.61259,1.10803,1.12843,0.0004555,0.0004555,0.0004555
35,1170.98,1.49572,0.9144,1.06844,0.6856,0.86842,0.79721,0.41379,1.61387,1.09598,1.1356,0.000439,0.000439,0.000439
